SP1_Transport	Problem type: adjoint
cell    node    group   phi     
250     0       0       0.109423
250     1       0       0.108735
251     0       0       0.108735
251     1       0       0.108029
252     0       0       0.108029
252     1       0       0.107302
253     0       0       0.107302
253     1       0       0.106555
254     0       0       0.106555
254     1       0       0.105788
255     0       0       0.105788
255     1       0       0.104999
256     0       0       0.104999
256     1       0       0.104188
257     0       0       0.104188
257     1       0       0.103355
258     0       0       0.103355
258     1       0       0.102499
259     0       0       0.102499
259     1       0       0.10162 
260     0       0       0.10162 
260     1       0       0.100718
261     0       0       0.100718
261     1       0       0.0997905
262     0       0       0.0997905
262     1       0       0.0988385
263     0       0       0.0988385
263     1       0       0.0978612
264     0       0       0.0978612
264     1       0       0.096858
265     0       0       0.096858
265     1       0       0.0958284
266     0       0       0.0958284
266     1       0       0.0947719
267     0       0       0.0947719
267     1       0       0.093688
268     0       0       0.093688
268     1       0       0.0925761
269     0       0       0.0925761
269     1       0       0.0914358
270     0       0       0.0914358
270     1       0       0.0902665
271     0       0       0.0902665
271     1       0       0.0890677
272     0       0       0.0890677
272     1       0       0.087839
273     0       0       0.087839
273     1       0       0.0865799
274     0       0       0.0865799
274     1       0       0.0852899
275     0       0       0.0852899
275     1       0       0.0839685
276     0       0       0.0839685
276     1       0       0.0826154
277     0       0       0.0826154
277     1       0       0.0812301
278     0       0       0.0812301
278     1       0       0.0798122
279     0       0       0.0798122
279     1       0       0.0783613
280     0       0       0.0783613
280     1       0       0.0768772
281     0       0       0.0768772
281     1       0       0.0753595
282     0       0       0.0753595
282     1       0       0.0738079
283     0       0       0.0738079
283     1       0       0.0722222
284     0       0       0.0722222
284     1       0       0.0706022
285     0       0       0.0706022
285     1       0       0.0689478
286     0       0       0.0689478
286     1       0       0.0672589
287     0       0       0.0672589
287     1       0       0.0655354
288     0       0       0.0655354
288     1       0       0.0637773
289     0       0       0.0637773
289     1       0       0.0619848
290     0       0       0.0619848
290     1       0       0.060158
291     0       0       0.060158
291     1       0       0.0582971
292     0       0       0.0582971
292     1       0       0.0564025
293     0       0       0.0564025
293     1       0       0.0544746
294     0       0       0.0544746
294     1       0       0.052514
295     0       0       0.052514
295     1       0       0.0505212
296     0       0       0.0505212
296     1       0       0.048497
297     0       0       0.048497
297     1       0       0.0464424
298     0       0       0.0464424
298     1       0       0.0443584
299     0       0       0.0443584
299     1       0       0.0422461
0       0       1       0.0640491
0       1       1       0.0672516
1       0       1       0.0672516
1       1       1       0.0702987
2       0       1       0.0702987
2       1       1       0.0731987
3       0       1       0.0731987
3       1       1       0.075959
4       0       1       0.075959
4       1       1       0.0785869
5       0       1       0.0785869
5       1       1       0.0810891
6       0       1       0.0810891
6       1       1       0.0834721
7       0       1       0.0834721
7       1       1       0.0857419
8       0       1       0.0857419
8       1       1       0.0879044
9       0       1       0.0879044
9       1       1       0.089965
10      0       1       0.089965
10      1       1       0.0919289
11      0       1       0.0919289
11      1       1       0.0938008
12      0       1       0.0938008
12      1       1       0.0955856
13      0       1       0.0955856
13      1       1       0.0972875
14      0       1       0.0972875
14      1       1       0.0989108
15      0       1       0.0989108
15      1       1       0.100459
16      0       1       0.100459
16      1       1       0.101937
17      0       1       0.101937
17      1       1       0.103347
18      0       1       0.103347
18      1       1       0.104692
19      0       1       0.104692
19      1       1       0.105977
20      0       1       0.105977
20      1       1       0.107204
21      0       1       0.107204
21      1       1       0.108376
22      0       1       0.108376
22      1       1       0.109495
23      0       1       0.109495
23      1       1       0.110564
24      0       1       0.110564
24      1       1       0.111586
25      0       1       0.111586
25      1       1       0.112563
26      0       1       0.112563
26      1       1       0.113496
27      0       1       0.113496
27      1       1       0.114389
28      0       1       0.114389
28      1       1       0.115243
29      0       1       0.115243
29      1       1       0.11606 
30      0       1       0.11606 
30      1       1       0.116841
31      0       1       0.116841
31      1       1       0.117589
32      0       1       0.117589
32      1       1       0.118304
33      0       1       0.118304
33      1       1       0.118989
34      0       1       0.118989
34      1       1       0.119645
35      0       1       0.119645
35      1       1       0.120273
36      0       1       0.120273
36      1       1       0.120875
37      0       1       0.120875
37      1       1       0.121451
38      0       1       0.121451
38      1       1       0.122003
39      0       1       0.122003
39      1       1       0.122533
40      0       1       0.122533
40      1       1       0.12304 
41      0       1       0.12304 
41      1       1       0.123526
42      0       1       0.123526
42      1       1       0.123993
43      0       1       0.123993
43      1       1       0.12444 
44      0       1       0.12444 
44      1       1       0.124869
