SP1_Transport	Problem type: adjoint
cell    node    group   phi     
238     0       0       0.748038
238     1       0       0.75027 
239     0       0       0.75027 
239     1       0       0.752438
240     0       0       0.752438
240     1       0       0.754545
241     0       0       0.754545
241     1       0       0.75659 
242     0       0       0.75659 
242     1       0       0.758575
243     0       0       0.758575
243     1       0       0.7605  
244     0       0       0.7605  
244     1       0       0.762367
245     0       0       0.762367
245     1       0       0.764178
246     0       0       0.764178
246     1       0       0.765932
247     0       0       0.765932
247     1       0       0.767631
248     0       0       0.767631
248     1       0       0.769276
249     0       0       0.769276
249     1       0       0.770868
250     0       0       0.770868
250     1       0       0.772409
251     0       0       0.772409
251     1       0       0.773898
252     0       0       0.773898
252     1       0       0.775339
253     0       0       0.775339
253     1       0       0.776731
254     0       0       0.776731
254     1       0       0.778075
255     0       0       0.778075
255     1       0       0.779373
256     0       0       0.779373
256     1       0       0.780626
257     0       0       0.780626
257     1       0       0.781835
258     0       0       0.781835
258     1       0       0.783   
259     0       0       0.783   
259     1       0       0.784124
260     0       0       0.784124
260     1       0       0.785206
261     0       0       0.785206
261     1       0       0.786248
262     0       0       0.786248
262     1       0       0.787251
263     0       0       0.787251
263     1       0       0.788215
264     0       0       0.788215
264     1       0       0.789143
265     0       0       0.789143
265     1       0       0.790033
266     0       0       0.790033
266     1       0       0.790888
267     0       0       0.790888
267     1       0       0.791709
268     0       0       0.791709
268     1       0       0.792495
269     0       0       0.792495
269     1       0       0.793248
270     0       0       0.793248
270     1       0       0.793969
271     0       0       0.793969
271     1       0       0.794658
272     0       0       0.794658
272     1       0       0.795317
273     0       0       0.795317
273     1       0       0.795945
274     0       0       0.795945
274     1       0       0.796543
275     0       0       0.796543
275     1       0       0.797113
276     0       0       0.797113
276     1       0       0.797654
277     0       0       0.797654
277     1       0       0.798167
278     0       0       0.798167
278     1       0       0.798654
279     0       0       0.798654
279     1       0       0.799113
280     0       0       0.799113
280     1       0       0.799547
281     0       0       0.799547
281     1       0       0.799955
282     0       0       0.799955
282     1       0       0.800338
283     0       0       0.800338
283     1       0       0.800696
284     0       0       0.800696
284     1       0       0.80103 
285     0       0       0.80103 
285     1       0       0.801339
286     0       0       0.801339
286     1       0       0.801626
287     0       0       0.801626
287     1       0       0.801888
288     0       0       0.801888
288     1       0       0.802128
289     0       0       0.802128
289     1       0       0.802346
290     0       0       0.802346
290     1       0       0.80254 
291     0       0       0.80254 
291     1       0       0.802713
292     0       0       0.802713
292     1       0       0.802864
293     0       0       0.802864
293     1       0       0.802992
294     0       0       0.802992
294     1       0       0.803099
295     0       0       0.803099
295     1       0       0.803185
296     0       0       0.803185
296     1       0       0.803249
297     0       0       0.803249
297     1       0       0.803292
298     0       0       0.803292
298     1       0       0.803313
299     0       0       0.803313
299     1       0       0.803313
0       0       1       1.28944e-07
0       1       1       1.28944e-07
1       0       1       1.28944e-07
1       1       1       1.28944e-07
2       0       1       1.28944e-07
2       1       1       1.28945e-07
3       0       1       1.28945e-07
3       1       1       1.28946e-07
4       0       1       1.28946e-07
4       1       1       1.28947e-07
5       0       1       1.28947e-07
5       1       1       1.28949e-07
6       0       1       1.28949e-07
6       1       1       1.28951e-07
7       0       1       1.28951e-07
7       1       1       1.28953e-07
8       0       1       1.28953e-07
8       1       1       1.28956e-07
9       0       1       1.28956e-07
9       1       1       1.28959e-07
10      0       1       1.28959e-07
10      1       1       1.28962e-07
11      0       1       1.28962e-07
11      1       1       1.28966e-07
12      0       1       1.28966e-07
12      1       1       1.2897e-07
13      0       1       1.2897e-07
13      1       1       1.28974e-07
14      0       1       1.28974e-07
14      1       1       1.28979e-07
15      0       1       1.28979e-07
15      1       1       1.28984e-07
16      0       1       1.28984e-07
16      1       1       1.28989e-07
17      0       1       1.28989e-07
17      1       1       1.28995e-07
18      0       1       1.28995e-07
18      1       1       1.29001e-07
19      0       1       1.29001e-07
19      1       1       1.29007e-07
20      0       1       1.29007e-07
20      1       1       1.29014e-07
21      0       1       1.29014e-07
21      1       1       1.29021e-07
22      0       1       1.29021e-07
22      1       1       1.29028e-07
23      0       1       1.29028e-07
23      1       1       1.29036e-07
24      0       1       1.29036e-07
24      1       1       1.29044e-07
25      0       1       1.29044e-07
25      1       1       1.29052e-07
26      0       1       1.29052e-07
26      1       1       1.29061e-07
27      0       1       1.29061e-07
27      1       1       1.2907e-07
28      0       1       1.2907e-07
28      1       1       1.29079e-07
29      0       1       1.29079e-07
29      1       1       1.29089e-07
30      0       1       1.29089e-07
30      1       1       1.29099e-07
31      0       1       1.29099e-07
31      1       1       1.29109e-07
32      0       1       1.29109e-07
32      1       1       1.2912e-07
33      0       1       1.2912e-07
33      1       1       1.29131e-07
34      0       1       1.29131e-07
34      1       1       1.29142e-07
35      0       1       1.29142e-07
35      1       1       1.29154e-07
36      0       1       1.29154e-07
36      1       1       1.29166e-07
37      0       1       1.29166e-07
37      1       1       1.29178e-07
38      0       1       1.29178e-07
38      1       1       1.29191e-07
39      0       1       1.29191e-07
39      1       1       1.29204e-07
40      0       1       1.29204e-07
40      1       1       1.29217e-07
41      0       1       1.29217e-07
41      1       1       1.29231e-07
42      0       1       1.29231e-07
42      1       1       1.29245e-07
43      0       1       1.29245e-07
43      1       1       1.29259e-07
44      0       1       1.29259e-07
44      1       1       1.29274e-07
45      0       1       1.29274e-07
45      1       1       1.29289e-07
46      0       1       1.29289e-07
46      1       1       1.29304e-07
47      0       1       1.29304e-07
47      1       1       1.2932e-07
48      0       1       1.2932e-07
48      1       1       1.29336e-07
49      0       1       1.29336e-07
49      1       1       1.29352e-07
50      0       1       1.29352e-07
50      1       1       1.29369e-07
51      0       1       1.29369e-07
51      1       1       1.29386e-07
52      0       1       1.29386e-07
52      1       1       1.29403e-07
53      0       1       1.29403e-07
53      1       1       1.29421e-07
54      0       1       1.29421e-07
54      1       1       1.29439e-07
55      0       1       1.29439e-07
55      1       1       1.29457e-07
56      0       1       1.29457e-07
56      1       1       1.29476e-07
57      0       1       1.29476e-07
57      1       1       1.29495e-07
58      0       1       1.29495e-07
58      1       1       1.29514e-07
59      0       1       1.29514e-07
59      1       1       1.29534e-07
60      0       1       1.29534e-07
60      1       1       1.29554e-07
61      0       1       1.29554e-07
61      1       1       1.29574e-07
62      0       1       1.29574e-07
62      1       1       1.29595e-07
63      0       1       1.29595e-07
63      1       1       1.29616e-07
64      0       1       1.29616e-07
64      1       1       1.29637e-07
65      0       1       1.29637e-07
65      1       1       1.29659e-07
66      0       1       1.29659e-07
66      1       1       1.29681e-07
67      0       1       1.29681e-07
