Monte Carlo	Total particles: 10087365	Num histories: 10000000	Implicit capture: 1	Init with adjoint: 1	Runtime: 1025.28
cell/edge       group           current         surface_flux    volume_flux     collision_flux  curr_var        sur_var         vol_var         coll_var        curr_err        sur_err         vol_err         coll_err        curr_rel        sur_rel         vol_rel         coll_rel        curr_fom        sur_fom         vol_fom         coll_fom        
62              0               0.140876        0.287332        0.287116        0.287314        0.202872        3.88578         1.66601         9.36199         0.000142433     0.00062336      0.000408168     0.000967574     0.00101105      0.00216948      0.00142161      0.00336765      954.134         207.227         482.606         86.0005         
63              0               0.141251        0.28679         0.287167        0.289129        0.203062        2.26681         1.61988         9.40486         0.0001425       0.00047611      0.000402477     0.000969787     0.00100884      0.00166013      0.00140154      0.00335416      958.317         353.891         496.526         86.6936         
64              0               0.141659        0.287155        0.2881          0.287183        0.203392        2.28431         1.63359         9.33827         0.000142615     0.000477945     0.000404177     0.000966347     0.00100675      0.00166441      0.00140291      0.00336492      962.307         352.074         495.563         86.1401         
65              0               0.142056        0.289131        0.289033        0.287509        0.203637        2.72062         1.6558          9.36262         0.000142702     0.000521595     0.000406915     0.000967606     0.00100455      0.00180401      0.00140785      0.00336548      966.529         299.694         492.087         86.1117         
66              0               0.142431        0.289216        0.289315        0.290184        0.203909        2.71139         1.63695         9.45102         0.000142797     0.00052071      0.000404593     0.000972163     0.00100257      0.00180042      0.00139845      0.00335017      970.349         300.891         498.725         86.9006         
67              0               0.142826        0.289454        0.289999        0.289209        0.20417         2.34478         1.64218         9.39045         0.000142888     0.000484229     0.000405238     0.000969044     0.00100044      0.00167291      0.00139738      0.00335067      974.489         348.508         499.49          86.8747         
68              0               0.143209        0.290626        0.290715        0.29043         0.204604        3.25761         1.63642         9.42408         0.00014304      0.000570755     0.000404527     0.000970777     0.000998817     0.00196388      0.00139149      0.00334255      977.651         252.886         503.727         87.2969         
69              0               0.143619        0.290895        0.291388        0.292343        0.205192        2.61691         1.65145         9.46452         0.000143245     0.000511557     0.00040638      0.000972857     0.000997398     0.00175856      0.00139463      0.00332779      980.434         315.384         501.459         88.0732         
70              0               0.143974        0.291904        0.291866        0.290504        0.205288        2.94481         1.64579         9.40093         0.000143279     0.000542661     0.000405683     0.000969584     0.000995171     0.00185904      0.00138997      0.0033376       984.827         282.214         504.833         87.5564         
71              0               0.144357        0.291695        0.292139        0.292191        0.205644        2.41427         1.62059         9.44822         0.000143403     0.000491352     0.000402566     0.00097202      0.00099339      0.00168447      0.001378        0.00332666      988.362         343.738         513.642         88.1332         
72              0               0.144659        0.292471        0.29324         0.292471        0.205955        2.77183         1.66182         9.4535          0.000143511     0.000526482     0.000407655     0.000972291     0.000992069     0.00180012      0.00139017      0.00332441      990.996         300.991         504.681         88.2526         
73              0               0.145016        0.293177        0.293568        0.29446         0.20646         2.48666         1.6366          9.51289         0.000143687     0.000498664     0.00040455      0.00097534      0.000990838     0.0017009       0.00137804      0.0033123       993.459         337.132         513.607         88.8987         
74              0               0.145339        0.294646        0.29418         0.295231        0.206765        3.01014         1.64872         9.57251         0.000143793     0.000548648     0.000406045     0.000978392     0.000989364     0.00186205      0.00138026      0.00331399      996.422         281.301         511.957         88.8085         
75              0               0.145623        0.294341        0.294479        0.2957          0.206941        4.37526         1.65958         9.55056         0.000143854     0.000661457     0.000407379     0.00097727      0.000987857     0.00224725      0.00138339      0.00330493      999.465         193.132         509.646         89.2955         
76              0               0.14586         0.294711        0.294781        0.294485        0.207072        3.27455         1.64229         9.47997         0.0001439       0.000572237     0.000405251     0.000973652     0.000986563     0.00194169      0.00137475      0.00330629      1002.09         258.7           516.067         89.2224         
77              0               0.14612         0.294468        0.295677        0.296068        0.207081        2.45233         1.6667          9.54772         0.000143903     0.00049521      0.000408252     0.000977124     0.000984825     0.00168171      0.00138074      0.00330034      1005.63         344.867         511.602         89.5446         
78              0               0.146441        0.296009        0.296184        0.294563        0.20747         2.67396         1.66439         9.49553         0.000144038     0.000517103     0.00040797      0.00097445      0.000983596     0.00174691      0.00137742      0.00330812      1008.14         319.604         514.069         89.1238         
79              0               0.146699        0.296875        0.296142        0.295372        0.207658        3.10851         1.63947         9.52203         0.000144103     0.00055754      0.000404903     0.000975809     0.000982305     0.00187803      0.00136726      0.00330366      1010.79         276.535         521.736         89.3644         
80              0               0.146885        0.296701        0.296572        0.294439        0.207798        2.67008         1.66388         9.48125         0.000144152     0.000516728     0.000407907     0.000973717     0.000981398     0.00174158      0.00137541      0.00330703      1012.66         321.564         515.577         89.1827         
81              0               0.147114        0.29614         0.29692         0.297489        0.208004        2.3076          1.64069         9.57008         0.000144223     0.000480375     0.000405054     0.000978268     0.000980352     0.00162212      0.00136419      0.00328841      1014.83         370.671         524.092         90.195          
82              0               0.147416        0.297216        0.297561        0.297271        0.208348        2.5516          1.66782         9.56983         0.000144343     0.000505134     0.00040839      0.000978255     0.000979153     0.00169955      0.00137246      0.00329079      1017.31         337.666         517.794         90.065          
83              0               0.147629        0.297605        0.298107        0.298267        0.208628        2.56804         1.66736         9.57655         0.00014444      0.000506759     0.000408333     0.000978598     0.000978398     0.00170279      0.00136975      0.00328094      1018.88         336.382         519.841         90.6062         
84              0               0.14792         0.297995        0.298023        0.297776        0.208937        2.81431         1.65075         9.59673         0.000144547     0.0005305       0.000406294     0.000979629     0.000977197     0.00178023      0.0013633       0.00328981      1021.39         307.752         524.777         90.1183         
85              0               0.148197        0.297994        0.298548        0.297608        0.209265        2.31041         1.66169         9.5883          0.00014466      0.000480668     0.000407638     0.000979199     0.000976134     0.00161301      0.0013654       0.00329023      1023.62         374.871         523.162         90.0955         
86              0               0.14833         0.297781        0.298949        0.298607        0.209177        2.42753         1.65942         9.5775          0.00014463      0.0004927       0.00040736      0.000978647     0.000975051     0.00165457      0.00136264      0.00327737      1025.89         356.274         525.282         90.8039         
87              0               0.14853         0.29916         0.299228        0.300333        0.20937         3.64381         1.66188         9.64118         0.000144696     0.00060364      0.000407662     0.000981895     0.00097419      0.00201779      0.00136238      0.00326936      1027.7          239.555         525.486         91.2494         
88              0               0.148688        0.299285        0.299552        0.299482        0.209368        2.50897         1.64746         9.59113         0.000144696     0.000500897     0.000405889     0.000979343     0.000973153     0.00167364      0.00135499      0.00327013      1029.9          348.2           531.233         91.2066         
89              0               0.148892        0.300694        0.300128        0.300661        0.20971         3.08792         1.67211         9.64629         0.000144814     0.00055569      0.000408915     0.000982155     0.000972609     0.00184803      0.00136247      0.00326665      1031.05         285.588         525.416         91.4009         
90              0               0.149131        0.300275        0.300653        0.300707        0.210003        2.38982         1.66899         9.65151         0.000144915     0.000488858     0.000408533     0.000982421     0.000971731     0.00162803      0.00135882      0.00326703      1032.91         367.985         528.241         91.3795         
91              0               0.149345        0.301036        0.300974        0.298346        0.210128        4.79481         1.67219         9.57048         0.000144958     0.000692446     0.000408924     0.000978289     0.000970624     0.00230021      0.00135867      0.00327905      1035.27         184.341         528.357         90.7112         
92              0               0.149555        0.301283        0.301071        0.300864        0.210513        3.37123         1.6682          9.64656         0.000145091     0.000580623     0.000408436     0.000982169     0.000970152     0.00192717      0.00135661      0.00326449      1036.28         262.612         529.961         91.5216         
93              0               0.149643        0.300491        0.300998        0.299533        0.21042         2.47528         1.65437         9.58185         0.000145059     0.000497522     0.00040674      0.000978869     0.000969366     0.0016557       0.0013513       0.00326798      1037.96         355.789         534.133         91.3265         
94              0               0.149874        0.301227        0.301365        0.30285         0.210725        2.56061         1.66128         9.71873         0.000145164     0.000506025     0.000407588     0.000985836     0.000968574     0.00167988      0.00135247      0.0032552       1039.66         345.62          533.211         92.0451         
95              0               0.149992        0.301837        0.301607        0.30277         0.210769        2.90199         1.6544          9.70121         0.000145179     0.000538701     0.000406743     0.000984947     0.000967911     0.00178474      0.00134858      0.00325312      1041.08         306.2           536.291         92.163          
96              0               0.150078        0.302509        0.301769        0.301816        0.210532        7.37304         1.65467         9.6825          0.000145097     0.000858664     0.000406776     0.000983997     0.000966809     0.00283848      0.00134797      0.00326026      1043.46         121.055         536.778         91.7595         
97              0               0.150286        0.301809        0.302263        0.302663        0.210711        3.18547         1.65676         9.70993         0.000145159     0.000564399     0.000407034     0.00098539      0.000965884     0.00187005      0.00134662      0.00325573      1045.46         278.9           537.855         92.0152         
98              0               0.150464        0.302768        0.302653        0.303487        0.210931        3.3419          1.65897         9.71152         0.000145235     0.000578091     0.000407305     0.00098547      0.000965246     0.00190936      0.00134578      0.00324716      1046.84         267.536         538.527         92.5013         
99              0               0.150632        0.302994        0.303213        0.30459         0.211218        2.85343         1.68012         9.77271         0.000145334     0.000534175     0.000409892     0.00098857      0.000964824     0.00176299      0.00135183      0.00324558      1047.76         313.802         533.718         92.5916         
100             0               0.150809        0.303036        0.303313        0.303554        0.211316        2.93141         1.67524         9.71103         0.000145367     0.000541425     0.000409297     0.000985446     0.000963916     0.00178667      0.00134942      0.00324636      1049.73         305.539         535.623         92.5469         
101             0               0.150905        0.304381        0.303643        0.303227        0.211477        5.57626         1.66276         9.67682         0.000145423     0.000746743     0.00040777      0.000983709     0.000963672     0.00245332      0.00134293      0.00324413      1050.26         162.05          540.818         92.674          
102             0               0.151053        0.303926        0.303925        0.303169        0.211683        2.4536          1.67974         9.67677         0.000145493     0.000495339     0.000409846     0.000983706     0.000963194     0.0016298       0.00134851      0.00324474      1051.3          367.186         536.347         92.6393         
103             0               0.151226        0.3036          0.30385         0.303704        0.211863        2.33913         1.67123         9.69702         0.000145555     0.000483646     0.000408807     0.000984734     0.000962503     0.00159304      0.00134542      0.00324242      1052.81         384.329         538.812         92.7722         
104             0               0.15132         0.303648        0.304052        0.304215        0.21189         2.93329         1.66693         9.73113         0.000145564     0.000541598     0.000408281     0.000986465     0.000961961     0.00178364      0.0013428       0.00324265      1054            306.578         540.919         92.7587         
105             0               0.151448        0.30496         0.304633        0.303846        0.21204         3.49648         1.67363         9.69564         0.000145616     0.00059131      0.0004091       0.000984664     0.000961493     0.00193897      0.00134293      0.00324067      1055.03         259.425         540.818         92.8724         
106             0               0.15155         0.30455         0.304903        0.305965        0.212031        2.49326         1.67893         9.74877         0.000145613     0.000499326     0.000409748     0.000987359     0.000960821     0.00163955      0.00134386      0.00322703      1056.5          362.832         540.063         93.6588         
107             0               0.151708        0.304516        0.304712        0.304935        0.212097        2.57818         1.65612         9.75599         0.000145635     0.000507758     0.000406955     0.000987724     0.000959973     0.00166743      0.00133554      0.00323913      1058.37         350.801         546.817         92.9606         
108             0               0.151791        0.305274        0.304929        0.305053        0.212087        4.82026         1.66419         9.74646         0.000145632     0.000694281     0.000407945     0.000987242     0.000959422     0.00227429      0.00133784      0.00323629      1059.59         188.567         544.941         93.1235         
109             0               0.151909        0.304215        0.304843        0.305315        0.212116        2.48489         1.65869         9.72433         0.000145642     0.000498487     0.00040727      0.00098612      0.000958743     0.0016386       0.001336        0.00322984      1061.09         363.253         546.44          93.4959         
110             0               0.152058        0.305669        0.305332        0.305774        0.212298        2.86078         1.66912         9.75408         0.000145704     0.000534863     0.000408549     0.000987628     0.000958216     0.00174981      0.00133805      0.00322993      1062.25         318.547         544.768         93.4912         
111             0               0.152099        0.30525         0.305179        0.307234        0.212267        3.34416         1.65298         9.80095         0.000145694     0.000578287     0.000406569     0.000989997     0.000957892     0.00189447      0.00133223      0.00322229      1062.97         271.757         549.536         93.9347         
112             0               0.152161        0.305763        0.305515        0.306981        0.212298        2.81413         1.67968         9.79284         0.000145704     0.000530484     0.00040984      0.000989588     0.000957567     0.00173495      0.00134147      0.00322361      1063.7          324.027         541.992         93.8578         
