Monte Carlo	Total particles: 10000000	Num histories: 10000000	Implicit capture: 0	Init with adjoint: 0	Runtime: 1602.43
cell/edge       group           current         surface_flux    volume_flux     collision_flux  curr_var        sur_var         vol_var         coll_var        curr_err        sur_err         vol_err         coll_err        curr_rel        sur_rel         vol_rel         coll_rel        curr_fom        sur_fom         vol_fom         coll_fom        
40              0               7.65945         17.781          17.7715         17.7072         59.3885         956.808         734.331         18191.7         0.00243698      0.00978165      0.00856931      0.0426517       0.000318166     0.000550119     0.000482193     0.00240872      6164.74         2062.09         2683.98         107.56          
41              0               7.65378         17.7611         17.7407         17.7549         59.1103         1192.76         704.187         18250.7         0.00243126      0.0109213       0.00839158      0.0427208       0.000317655     0.000614902     0.000473014     0.00240614      6184.59         1650.48         2789.16         107.79          
42              0               7.64798         17.7211         17.7287         17.7044         58.8295         806.186         709.875         18187.6         0.00242548      0.00897879      0.00842541      0.0426469       0.00031714      0.000506673     0.000475242     0.00240883      6204.68         2430.89         2763.07         107.55          
43              0               7.64199         17.7161         17.7174         17.7882         58.5542         838.133         719.303         18278.2         0.0024198       0.00915496      0.00848118      0.042753        0.000316645     0.000516759     0.000478691     0.00240345      6224.09         2336.93         2723.4          108.032         
44              0               7.6356          17.7167         17.701          17.651          58.2673         1947.1          731.304         18127.4         0.00241386      0.0139539       0.00855163      0.0425763       0.000316133     0.000787612     0.000483117     0.00241212      6244.29         1006            2673.73         107.257         
45              0               7.6295          17.6761         17.6702         17.5892         58.0002         829.392         703.022         18071           0.00240832      0.0091071       0.00838464      0.04251         0.000315659     0.000515222     0.000474508     0.00241683      6263.03         2350.89         2771.62         106.839         
46              0               7.623           17.6614         17.6554         17.6445         57.7242         921.582         698.317         18136.6         0.00240259      0.00959991      0.00835653      0.0425871       0.000315176     0.000543554     0.000473312     0.00241362      6282.25         2112.2          2785.64         107.124         
47              0               7.61614         17.6434         17.6389         17.6168         57.4566         871.285         709.841         18094.8         0.00239701      0.00933426      0.0084252       0.042538        0.000314728     0.000529051     0.00047765      0.00241463      6300.16         2229.6          2735.28         107.034         
48              0               7.60956         17.6148         17.613          17.6371         57.1901         879.31          701.022         18135.2         0.00239145      0.00937715      0.00837271      0.0425855       0.000314269     0.000532345     0.00047537      0.00241454      6318.58         2202.09         2761.58         107.042         
49              0               7.6028          17.5973         17.5919         17.5633         56.9337         974.338         695.994         18041.2         0.00238608      0.00987086      0.00834263      0.042475        0.000313842     0.00056093      0.000474231     0.00241839      6335.76         1983.38         2774.86         106.701         
50              0               7.59567         17.5843         17.577          17.6282         56.6657         905.152         710.773         18119.6         0.00238046      0.00951395      0.00843073      0.0425672       0.000313396     0.000541049     0.000479645     0.00241472      6353.8          2131.81         2712.57         107.026         
51              0               7.58865         17.567          17.5488         17.5367         56.3942         1062.43         694.538         18010           0.00237475      0.0103074       0.0083339       0.0424381       0.000312934     0.000586749     0.000474898     0.00241996      6372.59         1812.66         2767.07         106.563         
52              0               7.58151         17.5382         17.52           17.5505         56.1336         1111.75         691.342         18035.9         0.00236925      0.010544        0.0083147       0.0424687       0.000312504     0.0006012       0.000474584     0.0024198       6390.15         1726.56         2770.74         106.577         
53              0               7.57416         17.5002         17.4981         17.5362         55.8827         849.43          686.465         18007.9         0.00236395      0.00921645      0.00828532      0.0424357       0.000312107     0.000526648     0.000473497     0.00241989      6406.39         2249.99         2783.48         106.569         
54              0               7.56655         17.4931         17.472          17.4302         55.6281         940.222         673.313         17915           0.00235856      0.00969651      0.00820556      0.0423261       0.000311709     0.000554303     0.000469642     0.00242832      6422.78         2031.08         2829.36         105.83          
55              0               7.55898         17.4575         17.4579         17.4469         55.3781         888.125         700.204         17930.1         0.00235325      0.00942404      0.00836782      0.042344        0.000311319     0.000539827     0.000479313     0.00242702      6438.88         2141.47         2716.33         105.944         
56              0               7.55133         17.4475         17.4316         17.4357         55.1328         966.696         681.636         17905.9         0.00234804      0.00983207      0.00825612      0.0423154       0.000310944     0.000563524     0.000473629     0.00242694      6454.43         1965.16         2781.92         105.951         
57              0               7.54296         17.4189         17.4112         17.3731         54.8827         967.12          684.54          17831.7         0.00234271      0.00983423      0.0082737       0.0422276       0.000310582     0.000564571     0.000475194     0.00243063      6469.48         1957.87         2763.63         105.629         
58              0               7.53474         17.396          17.3863         17.4255         54.6305         849.096         683.306         17895.7         0.00233732      0.00921464      0.00826623      0.0423033       0.000310205     0.000529698     0.000475445     0.00242766      6485.19         2224.16         2760.71         105.887         
59              0               7.52607         17.3615         17.3566         17.3706         54.3793         831.007         687.184         17838.1         0.00233194      0.00911596      0.00828966      0.0422351       0.000309848     0.000525068     0.000477607     0.00243141      6500.16         2263.55         2735.77         105.561         
60              0               7.51737         17.3447         17.3281         17.2759         54.1247         1036.68         686.779         17730.8         0.00232647      0.0101817       0.00828721      0.042108        0.000309479     0.000587021     0.000478252     0.00243738      6515.66         1810.98         2728.4          105.045         
61              0               7.50873         17.3125         17.3006         17.2906         53.8843         879.316         671.92          17752           0.0023213       0.00937719      0.00819707      0.0421332       0.000309147     0.000541644     0.000473802     0.00243677      6529.69         2127.13         2779.89         105.098         
62              0               7.50008         17.2846         17.2658         17.2802         53.6494         852.094         670.607         17743.4         0.00231623      0.0092309       0.00818906      0.0421229       0.000308828     0.000534053     0.000474294     0.00243764      6543.18         2188.03         2774.13         105.022         
63              0               7.49078         17.2485         17.2376         17.1447         53.4001         1002.95         673.253         17582.2         0.00231085      0.0100148       0.0082052       0.0419311       0.000308492     0.000580615     0.000476006     0.00244572      6557.42         1851.17         2754.21         104.33          
64              0               7.4818          17.228          17.2102         17.1643         53.1615         1014.43         659.024         17610.9         0.00230568      0.0100719       0.00811803      0.0419653       0.000308171     0.000584623     0.000471698     0.00244492      6571.08         1825.87         2804.74         104.398         
65              0               7.47287         17.2037         17.185          17.2309         52.9365         1051.36         670.884         17708.4         0.00230079      0.0102536       0.00819075      0.0420813       0.000307886     0.000596011     0.000476622     0.0024422       6583.27         1756.76         2747.09         104.63          
66              0               7.46332         17.1598         17.1476         17.1149         52.7031         867.472         659.685         17573.8         0.00229572      0.00931382      0.0081221       0.0419211       0.0003076       0.00054277      0.000473658     0.00244939      6595.53         2118.31         2781.58         104.017         
67              0               7.4536          17.1511         17.1121         17.1177         52.4752         3968.32         662.338         17571.1         0.00229075      0.0199206       0.00813842      0.0419179       0.000307334     0.00116148      0.000475593     0.0024488       6606.94         462.595         2758.99         104.067         
68              0               7.44372         17.0889         17.082          17.0764         52.2414         811.543         657.901         17535.4         0.00228564      0.00900857      0.00811111      0.0418753       0.000307056     0.00052716      0.000474832     0.00245223      6618.91         2245.62         2767.84         103.776         
69              0               7.43357         17.0724         17.0602         17.0313         52.0068         953.51          677.226         17479.2         0.0022805       0.00976478      0.00822937      0.0418082       0.000306784     0.000571965     0.000482371     0.00245478      6630.65         1907.58         2682            103.561         
70              0               7.42346         17.043          17.0278         16.9828         51.7796         893.531         677.401         17458.2         0.00227551      0.00945268      0.00823044      0.041783        0.00030653      0.000554637     0.000483354     0.00246031      6641.64         2028.63         2671.1          103.096         
71              0               7.41319         17.0184         16.9918         17.0267         51.5501         1357.61         666.544         17461           0.00227047      0.0116517       0.00816421      0.0417864       0.000306274     0.00068465      0.000480479     0.00245417      6652.77         1331.32         2703.17         103.613         
72              0               7.40252         16.9672         16.9559         17.0253         51.327          810.593         665.206         17472.8         0.00226555      0.0090033       0.00815602      0.0418005       0.000306051     0.000530631     0.000481014     0.0024552       6662.46         2216.34         2697.16         103.526         
73              0               7.39193         16.9345         16.9169         16.9145         51.1003         839.12          653.788         17346.4         0.00226054      0.00916035      0.00808572      0.041649        0.000305811     0.000540928     0.000477968     0.00246233      6672.9          2132.76         2731.65         102.927         
