Monte Carlo	Total particles: 10000000	Num histories: 10000000	Implicit capture: 1	Init with adjoint: 0	Runtime: 1001.84
cell/edge       group           current         surface_flux    volume_flux     collision_flux  curr_var        sur_var         vol_var         coll_var        curr_err        sur_err         vol_err         coll_err        curr_rel        sur_rel         vol_rel         coll_rel        curr_fom        sur_fom         vol_fom         coll_fom        
51              0               0.135421        0.276574        0.277181        0.276227        0.196979        2.76931         1.61778         9.14142         0.000140349     0.000526242     0.000402217     0.000956108     0.00103639      0.00190272      0.0014511       0.00346131      929.291         275.709         474.032         83.3141         
52              0               0.136076        0.277838        0.278327        0.278782        0.198117        2.7084          1.62832         9.22543         0.000140754     0.000520423     0.000403524     0.000960491     0.00103438      0.00187311      0.00144982      0.00344532      932.905         284.493         474.866         84.0895         
53              0               0.136598        0.278896        0.279056        0.279718        0.198959        3.59014         1.61074         9.24813         0.000141053     0.000599178     0.00040134      0.000961672     0.00103262      0.00214839      0.00143821      0.003438        936.102         216.258         482.566         84.4477         
54              0               0.137106        0.279087        0.279884        0.281055        0.199737        2.38906         1.62821         9.28719         0.000141328     0.00048878      0.00040351      0.000963701     0.00103079      0.00175135      0.00144171      0.00342886      939.411         325.427         480.227         84.8984         
55              0               0.137647        0.280052        0.280816        0.282242        0.200345        2.54017         1.62059         9.35464         0.000141543     0.000504001     0.000402565     0.000967194     0.0010283       0.00179967      0.00143356      0.00342682      943.971         308.186         485.703         84.9997         
56              0               0.13814         0.280618        0.281262        0.280422        0.201112        2.42162         1.61578         9.29635         0.000141814     0.0004921       0.000401967     0.000964176     0.0010266       0.00175363      0.00142915      0.0034383       947.104         324.581         488.699         84.433          
57              0               0.138589        0.28171         0.282035        0.283107        0.201727        2.8419          1.61946         9.37357         0.000142031     0.000533095     0.000402425     0.000968172     0.00102483      0.00189235      0.00142686      0.00341981      950.37          278.738         490.27          85.3486         
58              0               0.139067        0.282423        0.283004        0.282966        0.2025          2.32877         1.63432         9.36248         0.000142302     0.000482573     0.000404267     0.000967599     0.00102327      0.00170869      0.00142848      0.00341948      953.281         341.88          489.157         85.3648         
59              0               0.13951         0.282217        0.283596        0.283124        0.20315         2.13442         1.62609         9.36402         0.000142531     0.000461998     0.000403248     0.000967678     0.00102165      0.00163703      0.00142191      0.00341786      956.304         372.465         493.693         85.4459         
60              0               0.139959        0.284606        0.284676        0.283761        0.203751        3.59777         1.66468         9.38207         0.000142742     0.000599814     0.000408005     0.000968611     0.00101988      0.00210752      0.00143323      0.00341347      959.625         224.727         485.926         85.6657         
61              0               0.140403        0.286212        0.285221        0.285434        0.204304        21.1327         1.6472          9.42192         0.000142935     0.00145371      0.000405857     0.000970666     0.00101804      0.00507913      0.00142296      0.00340067      963.105         38.692          492.965         86.3121         
